var,trt,dias,pl,total,diseased,dsi,inc,tree_id,inc_pois
B,3,3,1,19,1,0.0170454545454545,0.0526315789473684,B.3.3.1,5
B,3,3,2,15,0,0,0,B.3.3.2,0
B,3,3,3,18,0,0,0,B.3.3.3,0
B,3,7,1,19,0,0,0,B.3.7.1,0
B,3,7,2,24,2,0.00192307692307692,0.0833333333333333,B.3.7.2,8
B,3,7,3,19,0,0,0,B.3.7.3,0
B,4,0,1,20,5,0.03125,0.25,B.4.0.1,25
B,4,0,2,16,2,0.00333333333333333,0.125,B.4.0.2,12
B,4,0,3,16,3,0.0111111111111111,0.1875,B.4.0.3,19
B,4,1,1,10,0,0,0,B.4.1.1,0
B,4,1,2,15,0,0,0,B.4.1.2,0
B,4,1,3,16,1,0.00125,0.0625,B.4.1.3,6
B,4,3,1,14,0,0,0,B.4.3.1,0
B,4,3,2,19,0,0,0,B.4.3.2,0
B,4,3,3,17,0,0,0,B.4.3.3,0
B,4,7,1,20,0,0,0,B.4.7.1,0
B,4,7,2,15,2,0.003125,0.133333333333333,B.4.7.2,13
B,4,7,3,18,0,0,0,B.4.7.3,0
